frame_number,keypoint,Elbow angle,Knee angle,Shoulder-Elbow angle
27,"[[    0.28998     0.29082]
 [    0.29963     0.28413]
 [          0           0]
 [    0.32898     0.29634]
 [          0           0]
 [    0.33706     0.35766]
 [    0.35634     0.34524]
 [    0.32782     0.43732]
 [          0           0]
 [    0.24999     0.45862]
 [          0           0]
 [    0.35668     0.48242]
 [    0.36786     0.47641]
 [    0.34202     0.59457]
 [    0.35314     0.58683]
 [    0.39342     0.70951]
 [    0.39369     0.69672]]",116.06420076910227,157.48958994879519,10.873191654355363
28,"[[     0.2858     0.29388]
 [    0.29584     0.28673]
 [          0           0]
 [     0.3292     0.29715]
 [          0           0]
 [    0.34041     0.35753]
 [    0.35572       0.346]
 [    0.32915     0.43663]
 [          0           0]
 [    0.25366     0.45396]
 [          0           0]
 [    0.36169      0.4829]
 [    0.37027     0.47702]
 [    0.34892     0.59528]
 [    0.35755     0.58739]
 [    0.39313     0.70971]
 [    0.39275     0.69734]]",113.90115576316951,160.40668592921023,12.411478231052099
29,"[[    0.28408       0.293]
 [    0.29345     0.28552]
 [          0           0]
 [    0.32673     0.29589]
 [          0           0]
 [    0.33739     0.35637]
 [    0.36169     0.34654]
 [    0.32938     0.43533]
 [          0           0]
 [    0.25573     0.45404]
 [          0           0]
 [    0.35956     0.48358]
 [    0.37445     0.47875]
 [    0.34727     0.59763]
 [    0.36192     0.59298]
 [    0.39271     0.71225]
 [     0.3958     0.70368]]",114.07517776926571,160.26498878430945,10.967922779405583
30,"[[    0.28188     0.29792]
 [    0.29005      0.2902]
 [          0           0]
 [    0.32174     0.29875]
 [          0           0]
 [    0.33935     0.35655]
 [    0.35539     0.34653]
 [    0.33797     0.43995]
 [          0           0]
 [    0.25576     0.45546]
 [          0           0]
 [    0.36153     0.48617]
 [    0.36933     0.48111]
 [    0.35592     0.59796]
 [    0.35803     0.59153]
 [    0.40528     0.71238]
 [    0.39337     0.70096]]",105.81372341589841,161.26561013402528,7.462063336752557
31,"[[    0.28129      0.2991]
 [    0.28812     0.29104]
 [          0           0]
 [    0.31881      0.2983]
 [          0           0]
 [    0.33865     0.35507]
 [    0.36209     0.34595]
 [    0.34206     0.44089]
 [          0           0]
 [    0.26273     0.45653]
 [          0           0]
 [    0.36351     0.48878]
 [    0.37624     0.48481]
 [    0.36334     0.59965]
 [    0.36797     0.59827]
 [     0.4072     0.71533]
 [    0.39205     0.71192]]",104.21773813856633,165.14158626495987,5.796167931579628
32,"[[    0.28129      0.2991]
 [     0.2787      0.2962]
 [          0           0]
 [    0.30427     0.30119]
 [          0           0]
 [    0.33347       0.354]
 [     0.3681     0.34604]
 [    0.34924     0.44267]
 [          0           0]
 [    0.26279     0.45783]
 [          0           0]
 [    0.35955      0.4905]
 [    0.38061     0.48695]
 [    0.35816     0.59677]
 [    0.36582       0.597]
 [    0.40829     0.71007]
 [     0.3866     0.70734]]",97.06138472639572,162.34367072603175,0.5189963928038033
33,"[[    0.27142     0.30752]
 [    0.27588     0.29847]
 [          0           0]
 [    0.30364     0.30203]
 [          0           0]
 [    0.33942     0.35635]
 [     0.3628     0.35139]
 [    0.35199     0.44398]
 [          0           0]
 [    0.27539      0.4697]
 [          0           0]
 [    0.36164      0.4982]
 [    0.37608     0.49506]
 [    0.35421     0.60526]
 [    0.36479     0.60468]
 [    0.40559     0.71209]
 [    0.38677     0.70868]]",110.01929044587982,158.70534951358755,0.5217297588518441
34,"[[    0.27035     0.31192]
 [    0.27433      0.3027]
 [          0           0]
 [    0.30252     0.30413]
 [          0           0]
 [     0.3406     0.35531]
 [    0.36018      0.3502]
 [    0.35845     0.44831]
 [          0           0]
 [    0.29578      0.4882]
 [          0           0]
 [    0.36642       0.496]
 [    0.37699     0.49274]
 [    0.36673     0.60593]
 [    0.35928     0.60371]
 [    0.41402     0.71732]
 [    0.37253     0.71066]]",124.8002167457078,163.63557082331596,0.3292204893474068
35,"[[    0.26937     0.31235]
 [    0.27322     0.30299]
 [          0           0]
 [    0.30037     0.30382]
 [          0           0]
 [    0.33888     0.35461]
 [    0.36004     0.34976]
 [    0.36135     0.44997]
 [          0           0]
 [      0.307     0.49472]
 [          0           0]
 [    0.36755     0.49488]
 [    0.37812     0.49182]
 [    0.36814     0.60519]
 [    0.35084     0.60435]
 [    0.41337     0.71699]
 [    0.35511     0.71262]]",130.4363198413956,164.4710491280302,1.2189922222007474
36,"[[    0.26406     0.31115]
 [    0.26938     0.30218]
 [          0           0]
 [    0.29746      0.3043]
 [          0           0]
 [    0.33313     0.35444]
 [    0.35064     0.34869]
 [    0.35176     0.44155]
 [          0           0]
 [    0.28407     0.46645]
 [          0           0]
 [     0.3673     0.49048]
 [     0.3705     0.48788]
 [    0.37432     0.60131]
 [    0.33331     0.60575]
 [    0.42913     0.71059]
 [    0.32938     0.71739]]",109.35490243853559,163.26293407332963,1.4504648437703567
